year;area;information;price_per_square_meter;observations
2008;Kalajoki;single_family_houses;1186;40
2008;Kangasala;block_of_flats;1534;181
2008;Kangasala;single_family_houses;1763;157
2008;Kangasniemi;block_of_flats;1000;21
2008;Kangasniemi;single_family_houses;944;20
2008;Kankaanpaa;block_of_flats;1038;37
2008;Kankaanpaa;single_family_houses;1088;65
2008;Kannonkoski;block_of_flats;;
2008;Kannonkoski;single_family_houses;;5
2008;Kannus;block_of_flats;849;16
2008;Kannus;single_family_houses;810;58
2008;Karijoki;block_of_flats;;
2008;Karijoki;single_family_houses;615;17
2008;Karjalohja;block_of_flats;;1
2008;Karjalohja;single_family_houses;;5
2008;Karkkila;block_of_flats;1536;49
2008;Karkkila;single_family_houses;1569;37
2008;Karstula;block_of_flats;;
2008;Karstula;single_family_houses;908;21
2008;Karttula;block_of_flats;;
2008;Karttula;single_family_houses;1017;6
2008;Karvia;block_of_flats;;
2008;Karvia;single_family_houses;875;6
2008;Kaskinen;block_of_flats;642;31
2008;Kaskinen;single_family_houses;1095;5
2008;Kauhajoki;block_of_flats;858;12
2008;Kauhajoki;single_family_houses;1106;66
2008;Kauhava;block_of_flats;818;42
2008;Kauhava;single_family_houses;897;54
2008;Kauniainen;block_of_flats;3047;46
2008;Kauniainen;single_family_houses;3581;26
2008;Kaustinen;block_of_flats;;
2008;Kaustinen;single_family_houses;939;15
2008;Keitele;block_of_flats;;1
2008;Keitele;single_family_houses;1155;9
2008;Kemi;block_of_flats;940;298
2008;Kemi;single_family_houses;1145;112
2008;Keminmaa;block_of_flats;;19
2008;Keminmaa;single_family_houses;944;34
2008;Kempele;block_of_flats;1466;28
2008;Kempele;single_family_houses;1425;152
2008;Kerava;block_of_flats;1981;364
2008;Kerava;single_family_houses;2158;152
2008;Kerimaki;block_of_flats;795;6
2008;Kerimaki;single_family_houses;988;22
2008;Kesalahti;block_of_flats;;
2008;Kesalahti;single_family_houses;603;14
2008;Keuruu;block_of_flats;846;89
2008;Keuruu;single_family_houses;1205;25
2008;Kihnia;block_of_flats;;
