year;county;area;population;population_area_ratio
2016;418 Lempaala;269.54;22745;84.38
2016;420 Leppavirta;1136.01;9865;0.380555556
2016;421 Lestijarvi;480.65;811;0.089583333
2016;422 Lieksa;3418.06;11580;3.39
2016;423 Lieto;300.46;19418;64.63
2016;425 Liminka;637.04;10000;0.673611111
2016;426 Liperi;726.90;12301;0.730555556
2016;430 Loimaa;848.11;16267;19.18
2016;433 Loppi;597.60;8098;13.55
2016;434 Loviisa;819.76;15208;18.55
2016;435 Luhanka;214.52;756;3.52
2016;436 Lumijoki;213.85;2105;0.433333333
2016;438 Lumparland;36.35;385;10.59
2016;440 Luoto;142.45;5176;36.34
2016;441 Luumaki;750.05;4831;6.44
2016;444 Lohja;939.12;47149;50.21
2016;445 Parainen;882.84;15398;17.44
2016;475 Maalahti;521.30;5517;10.58
2016;478 Maarianhamina;0.513888889;11565;980.08
2016;480 Marttila;195.30;2021;10.35
2016;481 Masku;174.85;9675;55.33
2016;483 Merijarvi;229.94;1131;0.230555556
2016;484 Merikarvia;446.12;3169;7.10
2016;489 Miehikkala;422.26;2034;0.223611111
2016;491 Mikkeli;2548.46;54517;21.39
2016;494 Muhos;783.65;8995;11.48
2016;495 Multia;733.27;1663;2.27
2016;498 Muonio;1906.01;2350;1.23
2016;499 Mustasaari;848.96;19380;0.974305556
2016;500 Muurame;144.06;9941;69.01
2016;503 Mynamaki;519.85;7842;15.09
2016;504 Myrskyla;200.35;1986;0.438194444
2016;505 Mantsala;580.88;20853;35.90
2016;507 Mantyharju;980.88;6097;6.22
2016;508 Mantta-Vilppula;534.85;10448;19.53
2016;529 Naantali;312.37;19068;61.04
2016;531 Nakkila;182.91;5548;30.33
2016;535 Nivala;527.87;10889;0.877083333
2016;536 Nokia;288.20;33210;115.23
2016;538 Nousiainen;198.97;4815;24.20
2016;541 Nurmes;1601.02;7885;0.230555556
2016;543 Nurmijarvi;361.87;42010;116.09
2016;545 Narpia;977.71;9439;0.420138889
2016;560 Orimattila;785.18;16279;0.884027778
2016;561 Oripaa;117.61;1363;11.59
2016;562 Orivesi;799.65;9312;0.503472222
2016;563 Oulainen;587.79;7514;0.554166667
2016;564 Oulu;3031.89;200526;66.14
2016;576 Padasjoki;523.14;3073;0.26875
2016;577 Paimio;238.37;10713;44.94
2016;578 Paltamo;918.43;3491;0.180555556
2016;580 Parikkala;592.27;5126;0.378472222
2016;581 Parkano;852.07;6692;0.350694444
2016;583 Pelkosenniemi;1836.17;951;0.52
2016;584 Perho;747.83;2907;0.186805556
2016;588 Pertunmaa;374.45;1796;0.222222222
2016;592 Petajavesi;456.40;3981;0.383333333
2016;593 Pieksamaki;1568.74;18475;0.5125
2016;595 Pielavesi;1153.22;4697;4.07
2016;598 Pietarsaari;88.45;19377;219.07
2016;599 Pedersaren kunta;794.26;11067;0.60625
2016;601 Pihtipudas;1074.67;4202;0.188194444
2016;604 Pirkkala;81.43;19163;235.33
2016;607 Polvijarvi;804.15;4514;0.250694444
2016;608 Pomarkku;301.09;2233;7.42
2016;609 Pori;1155.95;85059;73.58
2016;611 Pornainen;146.52;5108;34.86
2016;614 Posio;3039.75;3424;1.13
2016;615 Pudasjarvi;5638.03;8187;1.45
2016;616 Pukkila;145.03;1988;0.590972222
2016;619 Punkalaidun;361.08;3003;8.32
2016;620 Puolanka;2461.30;2735;1.11
2016;623 Puumala;794.50;2234;0.139583333
2016;624 Pyhtaa;324.75;5340;16.44
2016;625 Pyhajoki;543.00;3188;0.26875
2016;626 Pyhajarvi;1311.31;5446;4.15
2016;630 Pyhanta;810.70;1579;0.107638889
2016;631 Pyharanta;143.28;2075;14.48
2016;635 Palkane;560.48;6627;0.515277778
2016;636 Paytya;750.06;8503;11.34
2016;638 Porvoo;654.42;50144;76.62
2016;678 Raahe;1014.22;25010;24.66
2016;680 Raisio;48.76;24283;498.01
2016;681 Rantasalmi;559.17;3649;6.53
2016;683 Ranua;3453.94;4023;1.16
2016;684 Rauma;495.73;39614;79.91
2016;686 Rautalampi;538.93;3288;6.10
2016;687 Rautavaara;1150.96;1723;1.50
2016;689 Rautjarvi;351.55;3473;0.436111111
2016;691 Reisjarvi;474.45;2854;6.02
2016;694 Riihimaki;121.03;29160;240.93
2016;697 Ristijarvi;835.58;1345;0.084027778
2016;698 Rovaniemi;7581.73;62231;8.21
2016;700 Ruokolahti;942.46;5245;5.57
2016;702 Ruovesi;776.93;4565;0.269444444
2016;704 Rusko;127.14;6137;48.27
2016;707 Raakkyla;427.61;2268;5.30
2016;710 Raasepori;1147.99;28077;24.46
2016;729 Saarijarvi;1251.80;9690;0.343055556
2016;732 Salla;5730.06;3653;0.044444444
2016;734 Salo;1986.57;53546;26.95
2016;736 Saltvik;152.24;1839;12.08
2016;738 Sauvo;252.61;3047;12.06
2016;739 Savitaipale;539.49;3534;6.55
2016;740 Savonlinna;2238.38;35242;0.676388889
2016;742 Savukoski;6438.65;1044;0.16
2016;743 Seinajoki;1431.77;62052;43.34
2016;746 Sievi;787.36;5069;6.44
2016;747 Siikainen;463.20;1494;3.23
2016;748 Siikajoki;1051.64;5366;5.10
2016;749 Siilinjarvi;400.96;21768;54.29
2016;751 Simo;1447.33;3170;2.19
2016;753 Sipoo;339.62;19922;58.66
2016;755 Siuntio;241.07;6178;25.63
2016;758 Sodankyla;11691.71;8653;0.051388889
2016;759 Soini;551.95;2186;0.191666667
2016;761 Somero;667.77;9027;13.52
2016;762 Sonkajarvi;1465.84;4199;0.143055556
2016;765 Sotkamo;2649.15;10471;0.190972222
2016;766 Sottunga;28.04;96;3.42
2016;768 Sulkava;584.63;2661;4.55
2016;771 Sund;108.21;1006;9.30
2016;777 Suomussalmi;5270.89;8187;1.55
2016;778 Suonenjoki;713.54;7312;10.25
2016;781 Sysma;666.89;3953;0.272916667
2016;783 Sakyla;406.75;6988;17.18
2016;785 Vaala;1302.11;3040;2.33
2016;790 Sastamala;1428.82;25062;17.54
2016;791 Siikalatva;2172.53;5583;2.57
2016;831 Taipalsaari;344.88;4832;14.01
2016;832 Taivalkoski;2438.16;4133;0.090277778
2016;833 Taivassalo;140.31;1622;11.56
2016;834 Tammela;640.53;6241;0.426388889
2016;837 Tampere;524.91;228274;434.88
2016;844 Tervo;347.74;1611;0.210416667
2016;845 Tervola;1559.69;3099;0.110416667
2016;846 Teuva;554.70;5363;0.421527778
2016;848 Tohmajarvi;837.75;4653;5.55
2016;849 Toholampi;608.82;3232;5.31
2016;850 Toivakka;361.44;2432;0.300694444
2016;851 Tornio;1188.00;22117;0.793055556
2016;853 Turku;245.67;187604;763.64
2016;854 Pello;1738.59;3565;2.05
2016;857 Tuusniemi;543.17;2643;0.227083333
2016;858 Tuusula;219.49;38588;175.81
2016;859 Tyrnava;491.80;6750;0.592361111
2016;886 Ulvila;400.66;13312;33.23
2016;887 Urjala;475.17;4858;10.22
2016;889 Utajarvi;1671.07;2824;0.089583333
2016;890 Utsjoki;5145.98;1241;0.24
2016;892 Uurainen;347.98;3717;0.463888889
2016;893 Uusikaarlepyy;732.65;7516;10.26
2016;895 Uusikaupunki;502.49;15404;30.66
2016;905 Vaasa;364.55;67620;185.49
2016;908 Valkeakoski;271.92;21346;78.50
2016;911 Valtimo;800.31;2245;0.139583333
2016;915 Varkaus;385.64;21468;55.67
2016;918 Vehmaa;188.78;2277;12.06
2016;921 Vesanto;422.62;2148;5.08
